lemma;significato;categoria;note
Άγγαισοι/ων,οι;Angesi;Sostantivo;Seconda declinazione, Popolo italiano
άγγαρα/ων,τά;Stazione, Fermata;Sostantivo;Seconda declinazione, Pluralia tantum
αγγαρεία/ας,η;Ufficio del corriere, Notizia;Sostantivo;Prima declinazione
αγγαρευτής/οῦ,ο;Chi ha/spedisce un corriere;Sostantivo;Prima declinazione
αγγαρεύω;Spedisco un corriere, Costringo a un lavoro;Verbo;
αγγαρήιος,ο;Corriere;Sostantivo;Seconda declinazione
αγγαρήιον,τό;Servizio di corriere;Sostantivo;Seconda declinazione
άγγαρος/ου,ο;Corriere a cavallo;Sostantivo;Seconda declinazione
αγγειολογέω;Discorro delle vene;Verbo;Verbo contratto
αγγεῖον/ου,τό;Vaso, Recipiente, Vena, Arteria;Sostantivo;Seconda declinazione
αγγειοτομία,η;Sezione della vena;Sostantivo;Prima declinazione
αγγειώδης/ες;Simile a un vaso;Aggettivo;Seconda classe
αγγελία/ας,η;Annuncio, Avviso, Messaggio, Ordine;Sostantivo;Prima declinazione
αγγελιαφόρος/ου,ο;Messaggero;Sostantivo;Seconda declinazione
αγγελικός/ή/όν;Riguardante il messaggero, Angelico;Aggettivo;Prima classe
αγγελικῶς;Angelicamente;Avverbio;
αγγελιώτης/ου,ο;Messaggero;Sostantivo;Prima declinazione
αγγελιῶτις/ιδος,η;Messaggera;Sostantivo;Terza declinazione
αγγέλλω;Annuncio, Avviso;Verbo;
άγγελμα/τος,τό;Messaggio, Avviso;Sostantivo;Terza declinazione
αγγελοειδής/ές;Simile a un angelo, Angelico;Aggettivo;Seconda classe
αγγελοθεσία/ας,η;Condizione angelica;Sostantivo;Prima declinazione
αγγελοπρεπής/ές;Conveniente ad un angelo;Aggetivo;Seconda classe
άγγελος/ου,ο;Messaggero/a, Angelo;Sostantivo;Seconda declinazione
Άγγελος,ο;Angelo;Sostantivo;Seconda declinazione
αγγελτικός/ή/όν;Che annuncia;Aggettivo;Prima classe
Αγγενίδας/α,ο;Angenida;Sostantivo;Prima declinazione, Eforo spartano
Αγγίτης/ου,ο;Angite;Sostantivo;Prima declinazione
αγγοθήκη/ης,η;Sottocoppa;Sostantivo;Prima declinazione
άγγος/ους,τό;Vaso, Recipiente;Sostantivo;Terza declinazione, Sostantivo contratto
αγγούριον,τό;Cocomero;Sostantivo;Seconda declinazione
Άγγρος/ου,ο;Angro;Sostantivo;Seconda declinazione
Αγδαβάτας/α,ο;Agdabata;Sostantivo;Prima declinazione
άγδην;Tirando, Conducendo;Avverbio;
Αγεάναξ/ακτος;Ageanatte;Sostantivo;Terza declinazione
αγείρω;Raduno, Raccolgo, Convoco;Verbo;
αγείτων/ον;Senza vicni, Solitario;Aggettivo;Seconda classe
Αγελάδας/α,ο;Agelada;Sostantivo;Prima declinazione
αγελάζω;Raduno;Verbo;
αγελαιοκομικός,ή,όν;Che riguarda la cura del bestiame;Aggettivo;Prima classe
αγελαῖος/αία/αῖον;Che appartiene alla mandria, Selvatico, Di bassa condizione, Vile;Aggettivo;Prima classe
αγελαιοτροφία/ας,η;Cura/Allevamento del bestiame;Sostantivo;Prima declinazione
αγελαιοτροφικός/ή/όν;Che riguarda la cura del bestiame;Aggettivo;Prima classe
αγελαιοτρόφος/ου,ο;Pastore, Chi ha cura del bestiame;Sostantivo;Seconda declinazione
αγελαιών/ῶνος,ο;Luogo per il bestiame;Sostantivo;Terza declinazione
αγέλαιοι,οι;I giovani soldati;Sostantivo;Seconda declinazione
Αγέλαος/ου,ο;Agelao;Sostantivo;Seconda declinazione
αγελαρχέω;Guido il gregge;Verbo;Verbo contratto
αγελάρχης/ου,ο;Capo, Guida di una mandria/compagnia;Sostantivo;Prima declinazione
αγελαστέω;Non rido;Verbo;Verbo contratto
αγελαστί/στεί;Senza scherzio/riso
αγελαστικός/ή/όν;Che conviene, Socievole;Aggettivo;Prima classe
αγέλαστος/ον;Che non ride, Serio, Triste;Aggettivo;Prima classe
αγελάτης/ου,ο;Capo di un armento, Capo delle agelai;Sostantivo;Prima declinazione
αγελεία/ας,η;Predatrice;Sostantivo;Prima declinazione, Epiteto di Atena
αγέλη/ης,η;Mandria, Gregge;Sostantivo;Prima declinazione
αγεληδά;In frotta/folla;Avverbio;
αγέληθεν;Dal gregge;Avverbio;
αγεληκόμος/ου,ο;Custode del gregge;Sostantivo;Seconda declinazione
αγελήτης/ου,ο;Che è parte di un armento;Sostantivo;Prima declinazione
αγέλφι;Nell'armento;Avverbio;
αγέλοιος/ον;Che non fa ridere, Spiacevole;Aggettivo;Prima classe
αγελοίως;Senza ridere;Avverbio;
Αγελόχεια,η;Agelochia;Sostantivo;Prima declinazione
αγεμόνευμα/τος,τό;Guida, Conduttore;Sostantivo;Terza declinazione
αγενεαλόγητος/ον;Senza genealogia;Aggettivo;Prima classe
αγένητος/ον;Non generato;Aggettivo;Prima classe
Αγήνωρ/ορος,ο;Agenore;Sostantivo;Terza declinazione
αγηρασία/ας,η;Eterna giovinezza;Sostantivo;Prima declinazione
αγήρως/ων;Mai vecchio, Eterno;Aggettivo;Seconda classe
Αγησίλαος/ου,ο;Agesilao;Sostantivo;Seconda declinazione
Ἆγις/ιδος,ο;Agide;Sostantivo;Terza declinazione
άγκυρα/ας,η;Ancora;Sostantivo;Prima declinazione
αγκών/ῶνος,ο;Gomito, Braccio;Sostantivo;Terza declinazione
Αγλαία/ας,η;Aglaia;Sostantivo;Prima declinazione
αγνέω;Ignoro, Non so;Verbo;Verbo contratto
άγνοια/ας,η;Ignoranza;Sostantivo;Prima declinazione
αγνός,ή,όν;Santo;Aggettivo;Prima classe
άγνυμι;Spezzo;Verbo;
αγνώμων/ον;Irriconoscente;Aggettivo;Seconda classe
αγορά/ᾶς,η;Piazza, Mercato;sostantivo;Prima declinazione
αγοράζω;Compro;Verbo;
αγορανόμος/ου,ο;Ispettore del mercato;Sostantivo;Seconda declinazione
αγρασία/ας,η;Acquisto;Sostantivo;Prima declinazione
αγορεύω;Dico;Verbo;
άγρα/ας,η;Caccia, Preda;Sostantivo;Prima declinazione
αγρεύω;Caccio, Pesco, Catturo;Verbo
άγριος/α/ον;Selvatico;Aggetivo;Prima classe
αγριότης/τητος,η;Ferocia;Sostantivo;Terza declinazione
άγροικος/ον;Rustico, Grossolano;Aggettivo;Prima classe
αγροίκως;Grossolanamente;Avverbio;
αγρός/οῦ,ο;Campagna;Sostantivo;Seconda declinazione
Αγροτέρα/ας,η;Agreste;Sostantivo;Prima declinazione, Epiteto di Artemide
αγρυπνία/ας,η;Insonnia;Sostantivo;Prima declinazione
αγυιά/ᾶς,η;Via, Strada, Dimora;Sostantivo;Prima declinazione
αγχίνοια/ας,η;Intelligenza;Sostantivo;Prima declinazione
Αγχίσης/ου,ο;Anchise;Sostantivo;Prima declinazione
αγχόνη/ης,η;Cappio;
άγχω;Strozzo, Soffoco;Verbo;
άγω;Comando, Guido;Verbo;
αγωγή/ῆς,η;Trasporto, Marcia;Sostantivo;Prima declinazione
αγών/ῶνος,ο;Lotta, Gara;Sostantivo;Terza declinazione
αγωνίζομαι;Lotto, Gareggio, Contendo;Verbo;Medio Deponente
αδαμάντιτος/η/ον;Di acciaio;Aggettivo;Prima classe
αδάπανος/ον;Poco costoso;Aggettivo;Prima classe
άδεια/ας,η;Mancanza di timore, Sicurezza;Sostantivo;Prima declinazione
αδελφή/ῆς,η;Sorella;Sostantivo;Prima declinazione
αδελφός/οῦ,ο;Fratello;Sostantivo;Seconda declinazione
αδεῶς;Senza paura, Con sicurezza;Avverbio;
ἀδηλος/ον;Oscuro, Invisibile;Aggettivo;Prima classe
αδῄωτος/ον;Incolume;Aggettivo;Prima classe
αδικέω;Commetto ingiustizia, Offendo;Verbo;Verbo contratto
αδίκημα/ατος,τό;Offesa;Sostantivo;Terza declinazione
αδικία/ας,η;Ingiustizia;Sostantivo;Prima declinazione
άδικος/ον;Ingiusto;Aggetivo;Prima classe
αδιόριστος/ον;Indeterminato;Aggetivo;Prima classe
Άδμητος/ου,ο;Admeto;Sostantivo;Seconda declinazione
αδόκιμος/ον;Riprorevole;Aggetivo;Prima classe
άδολος/ον;Leale;Aggetivo;Prima classe
αδοξέω;Disprezzo;Verbo;Verbo contratto
άδοξος/ον;Inglorioso;Aggetivo;Prima classe
αδορυφόρητος/ον;Privo di guardie del corpo;Aggettivo;Prima classe
Αδράστεια/ας,η;Adrastea;Sostantivo;Prima declinazione
αδυναμία/ας,η;Debolezza;Sostantivo;Prima declinazione
αδύνατος/ον;Impossibile, Incapace;Aggetivo;Prima classe
άδυτον/ου,τό;Camera segreta del tempio;Sostantivo;Seconda declinazione
ᾴδω;Canto;Verbo;
Άδωνις/ιδος,ο;Adone;Sostantivo;Terza declinazione
αεί;Sempre;Avverbio;
αείμνηστος/ον;Indimenticabile;Aggettivo;Prima classe
άελπτος/ον;Insperato, Insperato;Aggetivo;Prima classe
αέναος/ον;Eterno;Aggettivo;Prima classe
αέριος/α/ον;Aereo, Nebbioso;Aggetivo;Prima classe
αετός/οῦ,ο;Aquila;Sostantivo;Seconda declinazione
αζημίως;Senza danni;Avverbio;
άζυμος/ον;Azimo;Aggettivo;Prima classe
άζωστος/ον;Discinto;Aggettivi;Prima classe
αηδών/δόνος,η;Usignolo;Sostantivo;Terza declinazione
αηδῶς;Sgradevolmente;
αήρ/έρος,ο;Aria;Sostantivo;Terza declinazione
αήττητος/ον;Invitto;Aggetivo;Prima classe
